type,elems,lat,lon,alt,kjName,knName,enName,amdno,pref
C,11112010,45.52,141.935,26,宗谷岬,ソウヤミサキ,Cape Soya,11001,北海道
A,11111111,45.415,141.67833333333334,3,稚内,ワッカナイ,Wakkanai,11016,北海道
C,11112010,45.305,141.045,65,礼文,レブン,Rebun,11046,北海道
C,11110100,45.403333333333336,141.80166666666668,8,声問,コエトイ：稚内空港,Koetoi,11061,北海道
C,11112100,45.335,142.17,13,浜鬼志別,ハマオニシベツ,Hamaoni-Shibetsu,11076,北海道
C,11110000,45.24166666666667,141.18666666666667,30,本泊,モトドマリ：利尻空港,Motodomari,11091,北海道
C,11112100,45.248333333333335,141.85166666666666,23,沼川,ヌマカワ,Numakawa,11121,北海道
C,11112010,45.178333333333335,141.13833333333332,14,沓形,クツガタ,Kutsugata,11151,北海道
C,11112100,45.10166666666667,141.78,14,豊富,トヨトミ,Toyotomi,11176,北海道
C,11112000,45.125,142.35,18,浜頓別,ハマトンベツ,Hamatonbetsu,11206,北海道
C,11112100,44.965,142.28,25,中頓別,ナカトンベツ,Nakatonbetsu,11276,北海道
B,11111111,44.94,142.585,7,北見枝幸,キタミエサシ,Kitami-Esashi,11291,北海道
C,11112100,44.84166666666667,142.48,14,歌登,ウタノボリ,Utanobori,11316,北海道
C,11112000,44.82833333333333,142.07666666666665,22,中川,ナカガワ,Nakagawa,12011,北海道
C,11112100,44.72666666666667,142.265,40,音威子府,オトイネップ,Otoineppu,12041,北海道
C,01000000,44.608333333333334,142.295,60,小車,オグルマ,Oguruma,12066,
C,11112100,44.48,142.34166666666667,77,美深,ビフカ,Bifuka,12141,北海道
C,11112110,44.37,142.45666666666668,89,名寄,ナヨロ,Nayoro,12181,北海道
C,01000000,44.295,142.35833333333332,128,西風連,ニシフウレン,Nishi-Furen,12217,
C,11112100,44.295,142.63666666666666,143,下川,シモカワ,Shimokawa,12231,北海道
C,01000000,44.10666666666667,142.35333333333332,138,剣淵,ケンブチ,Kenbuchi,12256,
C,11112000,44.18666666666667,142.41666666666666,135,士別,シベツ,Shibetsu,12261,北海道
C,11112000,44.11833333333333,142.595,225,朝日,アサヒ,Asahi,12266,北海道
C,11112100,44.028333333333336,142.41,150,和寒,ワッサム,Wassamu,12301,北海道
C,11112000,43.87,142.26,140,江丹別,エタンベツ,Etanbetsu,12386,北海道
C,11112000,43.87,142.47,164,比布,ピップ,Pippu,12396,北海道
C,11112100,43.846666666666664,142.75333333333333,324,上川,カミカワ,Kamikawa,12411,北海道
A,11111111,43.75666666666667,142.37166666666667,120,旭川,アサヒカワ,Asahikawa,12442,北海道
C,11112000,43.70166666666667,142.50833333333333,215,東川,ヒガシカワ,Higashikawa,12451,北海道
C,01000000,43.736666666666665,142.63833333333332,289,瑞穂,ミズホ,Mizuho,12457,
C,01000100,43.75333333333333,142.93,540,層雲峡,ソウウンキョウ,Sounkyo,12471,
C,11110100,43.67,142.44666666666666,211,東神楽,ヒガシカグラ：旭川空港,Higashi-Kagura,12501,北海道
C,11112000,43.64333333333333,142.58166666666668,310,志比内,シビナイ,Shibinai,12512,北海道
C,11112100,43.58833333333333,142.49333333333334,250,美瑛,ビエイ,Biei,12551,北海道
C,11112000,43.455,142.465,220,上富良野,カミフラノ,Kami-Furano,12596,北海道
C,01000000,43.475,142.65,658,白金,シロガネ,Shirogane,12607,
C,11112110,43.333333333333336,142.4,174,富良野,フラノ,Furano,12626,北海道
C,11112000,43.30166666666667,142.52166666666668,315,麓郷,ロクゴウ,Rokugo,12632,北海道
C,01000000,43.138333333333335,142.41666666666666,284,金山,カナヤマ,Kanayama,12686,
C,11112110,43.16833333333334,142.56833333333333,350,幾寅,イクトラ,Ikutora,12691,北海道
C,11112100,42.97833333333333,142.395,332,占冠,シムカップ,Shimukappu,12746,北海道
