amdno,type,elems,lat,lon,alt,地名,knName,enName,気温
11001,C,11112010,45.52,141.935,26,宗谷岬,ソウヤミサキ,Cape Soya,25.8
11016,A,11111111,45.415,141.67833333333334,3,稚内,ワッカナイ,Wakkanai,25.3
11046,C,11112010,45.305,141.045,65,礼文,レブン,Rebun,23.1
11061,C,11110100,45.403333333333336,141.80166666666668,8,声問,コエトイ：稚内空港,Koetoi,25.9
11076,C,11112100,45.335,142.17,13,浜鬼志別,ハマオニシベツ,Hamaoni-Shibetsu,26.5
11091,C,11110000,45.24166666666667,141.18666666666667,30,本泊,モトドマリ：利尻空港,Motodomari,24.8
11121,C,11112100,45.248333333333335,141.85166666666666,23,沼川,ヌマカワ,Numakawa,24.4
11151,C,11112010,45.178333333333335,141.13833333333332,14,沓形,クツガタ,Kutsugata,23.8
11176,C,11112100,45.10166666666667,141.78,14,豊富,トヨトミ,Toyotomi,23.6
11206,C,11112000,45.125,142.35,18,浜頓別,ハマトンベツ,Hamatonbetsu,25.4
11276,C,11112100,44.965,142.28,25,中頓別,ナカトンベツ,Nakatonbetsu,26.1
11291,B,11111111,44.94,142.585,7,北見枝幸,キタミエサシ,Kitami-Esashi,27.6
11316,C,11112100,44.84166666666667,142.48,14,歌登,ウタノボリ,Utanobori,27.2
12011,C,11112000,44.82833333333333,142.07666666666665,22,中川,ナカガワ,Nakagawa,26.4
12041,C,11112100,44.72666666666667,142.265,40,音威子府,オトイネップ,Otoineppu,27.5
12141,C,11112100,44.48,142.34166666666667,77,美深,ビフカ,Bifuka,28.5
12181,C,11112110,44.37,142.45666666666668,89,名寄,ナヨロ,Nayoro,28.1
12231,C,11112100,44.295,142.63666666666666,143,下川,シモカワ,Shimokawa,28.8
12261,C,11112000,44.18666666666667,142.41666666666666,135,士別,シベツ,Shibetsu,27.3
12266,C,11112000,44.11833333333333,142.595,225,朝日,アサヒ,Asahi,29.1
12301,C,11112100,44.028333333333336,142.41,150,和寒,ワッサム,Wassamu,28.9
12386,C,11112000,43.87,142.26,140,江丹別,エタンベツ,Etanbetsu,28.1
