観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),気温,今日の最高気温の品質情報,今日の最高気温起時（時）,今日の最高気温起時（分）,今日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（昨日まで）,今年の最高気温（昨日まで）の品質情報,今年の最高気温（昨日まで）を観測した起日（年）,今年の最高気温（昨日まで）を観測した起日（月）,今年の最高気温（昨日まで）を観測した起日（日）,昨日までの観測史上1位の値（℃）,昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値を観測した起日（年）,昨日までの観測史上1位の値を観測した起日（月）,昨日までの観測史上1位の値を観測した起日（日）,昨日までの7月の1位の値,昨日までの7月の1位の値の品質情報,昨日までの7月の1位の値の起日（年）,昨日までの7月の1位の値の起日（月）,昨日までの7月の1位の値の起日（日）,統計開始年,lat,lon,観測所,時間
11016,北海道宗谷地方,稚内（ワッカナイ）,47401,2023,07,28,15,00,26.2,4,11,56,4,+4.7,+0.3,88,0,,,1,25.9,4,2023,07,27,32.7,8,2021,07,29,32.7,8,2021,07,29,1938,45.415,141.67833333333334,稚内,11時56分
12386,北海道上川地方,江丹別（エタンベツ）,,2023,07,28,15,00,32.4,4,14,06,4,+5.5,+2.7,88,0,,,1,32.3,4,2023,07,09,38.4,8,2021,07,31,38.4,8,2021,07,31,1977,43.87,142.26,江丹別,14時06分
12396,北海道上川地方,比布（ピップ）,,2023,07,28,15,00,31.9,4,14,42,4,+4.6,+1.9,88,0,,,1,31.7,4,2023,07,26,36.9,8,2021,08,07,35.8,8,2021,07,28,1977,43.87,142.47,比布,14時42分
12596,北海道上川地方,上富良野（カミフラノ）,,2023,07,28,15,00,33.4,4,14,22,4,+5.8,+2.8,88,0,,,1,33.3,4,2023,07,26,37.5,8,2021,08,07,37.2,8,2021,07,31,1977,43.455,142.465,上富良野,14時22分
12626,北海道上川地方,富良野（フラノ）,,2023,07,28,15,00,33.3,4,13,22,4,+5.7,+2.4,88,0,,,1,33.2,4,2023,07,26,38.5,8,2021,08,07,36.5,8,2021,07,31,1976,43.333333333333336,142.4,富良野,13時22分
13061,北海道留萌地方,天塩（テシオ）,,2023,07,28,15,00,27.5,4,14,38,4,+4.0,+3.3,88,0,,,1,27.3,4,2023,07,23,33.8,4,2021,07,27,33.8,4,2021,07,27,1977,44.89333333333333,141.76166666666666,天塩,14時38分
13321,北海道留萌地方,幌糠（ホロヌカ）,,2023,07,28,15,00,31.7,4,11,40,4,+5.5,+2.1,88,0,,,1,31.5,4,2023,07,09,35.9,8,2021,08,07,35.3,8,2021,07,28,1977,43.85333333333333,141.76,幌糠,11時40分
14026,北海道石狩地方,浜益（ハママス）,,2023,07,28,15,00,31.9,4,12,55,4,+6.5,+1.4,88,0,,,1,30.5,4,2023,07,27,34.6,8,1989,08,07,33.4,8,2021,07,28,1977,43.58166666666666,141.38666666666666,浜益,12時55分
14071,北海道石狩地方,厚田（アツタ）,,2023,07,28,15,00,33.2,4,13,16,4,+7.3,+1.3,88,0,,,1,31.9,4,2023,07,27,36.1,8,2021,07,28,36.1,8,2021,07,28,1977,43.39666666666667,141.43666666666667,厚田,13時16分
14101,北海道石狩地方,新篠津（シンシノツ）,,2023,07,28,15,00,33.6,4,14,25,4,+7.7,+1.5,88,0,,,1,33.6,4,2023,07,26,35.1,8,2021,07,28,35.1,8,2021,07,28,1978,43.22,141.645,新篠津,14時25分
14116,北海道石狩地方,山口（ヤマグチ）,,2023,07,28,15,00,33.5,4,13,32,4,+6.8,+1.0,88,0,,,1,32.8,4,2023,07,26,37.1,8,2021,07,28,37.1,8,2021,07,28,1977,43.14833333333333,141.22166666666666,山口,13時32分
14121,北海道石狩地方,石狩（イシカリ）,,2023,07,28,15,00,32.3,4,12,21,4,+6.6,+0.1,88,0,,,1,32.2,4,2023,07,27,35.4,8,2021,07,28,35.4,8,2021,07,28,1990,43.193333333333335,141.37,石狩,12時21分
14136,北海道石狩地方,江別（エベツ）,,2023,07,28,15,00,33.1,4,13,17,4,+7.4,+1.0,88,0,,,1,32.7,4,2023,07,26,35.6,8,2021,07,31,35.6,8,2021,07,31,2000,43.11,141.60166666666666,江別,13時17分
14163,北海道石狩地方,札幌（サッポロ）,47412,2023,07,28,15,00,33.7,4,11,49,4,+6.8,+0.8,88,0,,,1,32.9,4,2023,07,27,36.2,8,1994,08,07,36.0,8,2000,07,31,1876,43.06,141.32833333333335,札幌,11時49分
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2023,07,28,15,00,29.3,4,14,59,4,+6.0,+0.2,88,0,,,1,29.1,4,2023,07,27,31.9,8,2007,08,14,31.8,8,2021,07,19,1977,42.77166666666667,141.40666666666667,支笏湖畔,14時59分
